Project,Month,Epic,Team,Epic_Summary,Hours
SRLK,2025-01,SRLK-29,PMs,"Brands",0.50
SRLK,2025-01,SRLK-31,BE Devs,"Catalog Integration",74.25
SRLK,2025-01,SRLK-31,PMs,"Catalog Integration",1.00
SRLK,2025-01,SRLK-35,PMs,"User Integration",0.25
SRLK,2025-01,SRLK-36,BE Devs,"Bulk Image Uploader",35.25
SRLK,2025-01,SRLK-36,FE Devs,"Bulk Image Uploader",0.50
SRLK,2025-01,SRLK-36,PMs,"Bulk Image Uploader",0.50
SRLK,2025-01,SRLK-37,FE Devs,"Launch Set Up",1.75
SRLK,2025-01,SRLK-38,PMs,"Emails",0.25
SRLK,2025-01,SRLK-39,FE Devs,"Components",22.00
SRLK,2025-01,SRLK-39,PMs,"Components",0.50
SRLK,2025-02,SRLK-1,BE Devs,"Project Oversight / Support",4.25
SRLK,2025-02,SRLK-1,FE Devs,"Project Oversight / Support",6.00
SRLK,2025-02,SRLK-1,PMs,"Project Oversight / Support",17.08
SRLK,2025-02,SRLK-13,FE Devs,"Globals & Style Guide",0.50
SRLK,2025-02,SRLK-136,FE Devs,"Instagram Section",0.50
SRLK,2025-02,SRLK-154,FE Devs,"Wishlist",6.00
SRLK,2025-02,SRLK-154,PMs,"Wishlist",0.25
SRLK,2025-02,SRLK-17,FE Devs,"Content Sections",11.00
SRLK,2025-02,SRLK-18,FE Devs,"Mega Menu",1.00
SRLK,2025-02,SRLK-20,FE Devs,"PDP Image & Summary",0.75
SRLK,2025-02,SRLK-20,PMs,"PDP Image & Summary",0.25
SRLK,2025-02,SRLK-23,PMs,"PLP / SRP",0.25
SRLK,2025-02,SRLK-24,PMs,"Cart",0.25
SRLK,2025-02,SRLK-25,PMs,"Checkout",0.25
SRLK,2025-02,SRLK-27,FE Devs,"BOPIS / Locations",1.25
SRLK,2025-02,SRLK-31,BE Devs,"Catalog Integration",20.00
SRLK,2025-02,SRLK-31,FE Devs,"Catalog Integration",0.18
SRLK,2025-02,SRLK-31,PMs,"Catalog Integration",0.50
SRLK,2025-02,SRLK-32,BE Devs,"Order Integration",40.25
SRLK,2025-02,SRLK-36,BE Devs,"Bulk Image Uploader",0.25
SRLK,2025-02,SRLK-37,FE Devs,"Launch Set Up",9.25
SRLK,2025-02,SRLK-37,UX,"Launch Set Up",6.00
SRLK,2025-02,SRLK-38,FE Devs,"Emails",5.00
SRLK,2025-02,SRLK-39,PMs,"Components",0.25
SRLK,2025-02,SRLK-58,BE Devs,"Fulfillment Integration",20.00
SRLK,2025-02,SRLK-58,PMs,"Fulfillment Integration",0.25
SRLK,2025-03,SRLK-1,BE Devs,"Project Oversight / Support",6.42
SRLK,2025-03,SRLK-1,FE Devs,"Project Oversight / Support",1.50
SRLK,2025-03,SRLK-1,PMs,"Project Oversight / Support",18.75
SRLK,2025-03,SRLK-13,FE Devs,"Globals & Style Guide",3.00
SRLK,2025-03,SRLK-13,PMs,"Globals & Style Guide",0.25
SRLK,2025-03,SRLK-23,FE Devs,"PLP / SRP",0.25
SRLK,2025-03,SRLK-23,PMs,"PLP / SRP",0.50
SRLK,2025-03,SRLK-27,PMs,"BOPIS / Locations",0.25
SRLK,2025-03,SRLK-31,BE Devs,"Catalog Integration",40.00
SRLK,2025-03,SRLK-31,FE Devs,"Catalog Integration",0.17
SRLK,2025-03,SRLK-32,BE Devs,"Order Integration",0.50
SRLK,2025-03,SRLK-36,BE Devs,"Bulk Image Uploader",20.00
SRLK,2025-03,SRLK-36,PMs,"Bulk Image Uploader",1.25
SRLK,2025-03,SRLK-38,FE Devs,"Emails",5.25
SRLK,2025-03,SRLK-39,FE Devs,"Components",1.50
SRLK,2025-03,SRLK-39,PMs,"Components",0.50
SRLK,2025-03,SRLK-57,BE Devs,"Gift Card Integration",7.47
SRLK,2025-03,SRLK-57,PMs,"Gift Card Integration",0.75
SRLK,2025-03,SRLK-58,FE Devs,"Fulfillment Integration",0.28
SRLK,2025-04,SRLK-1,BE Devs,"Project Oversight / Support",3.00
SRLK,2025-04,SRLK-1,FE Devs,"Project Oversight / Support",7.75
SRLK,2025-04,SRLK-1,PMs,"Project Oversight / Support",16.50
SRLK,2025-04,SRLK-20,FE Devs,"PDP Image & Summary",2.75
SRLK,2025-04,SRLK-21,FE Devs,"PDP Details",1.50
SRLK,2025-04,SRLK-23,FE Devs,"PLP / SRP",1.00
SRLK,2025-04,SRLK-255,BE Devs,"Returns & Refunds",28.00
SRLK,2025-04,SRLK-255,PMs,"Returns & Refunds",0.25
SRLK,2025-04,SRLK-31,BE Devs,"Catalog Integration",97.25
SRLK,2025-04,SRLK-36,BE Devs,"Bulk Image Uploader",38.50
SRLK,2025-04,SRLK-36,PMs,"Bulk Image Uploader",0.75
SRLK,2025-04,SRLK-38,FE Devs,"Emails",4.00
SRLK,2025-04,SRLK-39,FE Devs,"Components",0.75
SRLK,2025-05,SRLK-1,BE Devs,"Project Oversight / Support",6.25
SRLK,2025-05,SRLK-1,FE Devs,"Project Oversight / Support",3.50
SRLK,2025-05,SRLK-1,PMs,"Project Oversight / Support",13.25
SRLK,2025-05,SRLK-1,UX,"Project Oversight / Support",3.00
SRLK,2025-05,SRLK-17,FE Devs,"Content Sections",3.75
SRLK,2025-05,SRLK-20,FE Devs,"PDP Image & Summary",7.25
SRLK,2025-05,SRLK-23,PMs,"PLP / SRP",0.25
SRLK,2025-05,SRLK-268,BE Devs,"Phase 2 Integration Features ",12.50
SRLK,2025-05,SRLK-268,PMs,"Phase 2 Integration Features ",1.00
SRLK,2025-05,SRLK-27,BE Devs,"BOPIS / Locations",2.00
SRLK,2025-05,SRLK-27,FE Devs,"BOPIS / Locations",2.00
SRLK,2025-05,SRLK-27,PMs,"BOPIS / Locations",0.25
SRLK,2025-05,SRLK-29,PMs,"Brands",0.50
SRLK,2025-05,SRLK-31,BE Devs,"Catalog Integration",22.50
SRLK,2025-05,SRLK-37,BE Devs,"Launch Set Up",12.75
SRLK,2025-05,SRLK-37,PMs,"Launch Set Up",0.50
SRLK,2025-05,SRLK-57,BE Devs,"Gift Card Integration",11.00
SRLK,2025-06,SRLK-1,BE Devs,"Project Oversight / Support",2.25
SRLK,2025-06,SRLK-1,PMs,"Project Oversight / Support",11.00
SRLK,2025-06,SRLK-13,UX,"Globals & Style Guide",0.50
SRLK,2025-06,SRLK-268,BE Devs,"Phase 2 Integration Features ",20.00
SRLK,2025-06,SRLK-268,PMs,"Phase 2 Integration Features ",0.50
SRLK,2025-06,SRLK-37,BE Devs,"Launch Set Up",0.25
SRLK,2025-06,SRLK-37,PMs,"Launch Set Up",0.25
SRLK,2025-07,No Epic,UX,"",1.00
SRLK,2025-07,SRLK-1,BE Devs,"Project Oversight / Support",1.50
SRLK,2025-07,SRLK-1,FE Devs,"Project Oversight / Support",1.25
SRLK,2025-07,SRLK-1,PMs,"Project Oversight / Support",9.50
SRLK,2025-07,SRLK-14,FE Devs,"Analytics",0.75
SRLK,2025-07,SRLK-38,FE Devs,"Emails",1.25
SRLK,2025-08,No Epic,BE Devs,"",1.00
SRLK,2025-08,No Epic,UX,"",0.50
SRLK,2025-08,SRLK-1,BE Devs,"Project Oversight / Support",0.50
SRLK,2025-08,SRLK-1,PMs,"Project Oversight / Support",2.25
SRLK,2025-08,SRLK-32,BE Devs,"Order Integration",7.25
SRLK,2025-08,SRLK-37,BE Devs,"Launch Set Up",0.25
SRLK,2025-09,No Epic,BE Devs,"",6.00
