epic_key,project_key,epic_summary,old_category,new_category,change_type,used_fuzzy_match
SRLK-132,SRLK,Reviews,Uncategorized,UI Dev,new,False
SRLK-136,SRLK,Instagram Section,FE Dev,UI Dev,updated,False
SRLK-14,SRLK,Analytics,Data,SEO & Analytics,updated,False
SRLK-15,SRLK,Header,FE Dev,UI Dev,updated,False
SRLK-154,SRLK,Wishlist,UX,UI Dev,updated,False
SRLK-16,SRLK,Footer,Uncategorized,UI Dev,new,False
SRLK-17,SRLK,Content Sections,BE Dev,UI Dev,updated,False
SRLK-18,SRLK,Mega Menu,FE Dev,UI Dev,updated,False
SRLK-19,SRLK,Search,BE Dev,UI Dev,updated,False
SRLK-20,SRLK,PDP Image & Summary,FE Dev,UI Dev,updated,False
SRLK-21,SRLK,PDP Details,BE Dev,UI Dev,updated,False
SRLK-212,SRLK,Pages,Uncategorized,UI Dev,new,False
SRLK-22,SRLK,PDP Upsells,BE Dev,UI Dev,updated,False
SRLK-23,SRLK,PLP / SRP,Uncategorized,UI Dev,new,False
SRLK-24,SRLK,Cart,BE Dev,UI Dev,updated,False
SRLK-25,SRLK,Checkout,BE Dev,UI Dev,updated,False
SRLK-26,SRLK,Shipping,Project Oversight,UI Dev,updated,False
SRLK-268,SRLK,Phase 2 Integration Features ,BE Dev,Integrations,updated,False
SRLK-27,SRLK,BOPIS / Locations,BE Dev,UI Dev,updated,False
SRLK-29,SRLK,Brands,Uncategorized,UI Dev,new,False
SRLK-31,SRLK,Catalog Integration,BE Dev,Integrations,updated,False
SRLK-32,SRLK,Order Integration,BE Dev,Integrations,updated,False
SRLK-36,SRLK,Bulk Image Uploader,BE Dev,UI Dev,updated,False
SRLK-37,SRLK,Launch Set Up,Project Oversight,Launch Support,updated,False
SRLK-38,SRLK,Emails,Uncategorized,UI Dev,new,False
SRLK-39,SRLK,Components,Uncategorized,UI Dev,new,False
SRLK-57,SRLK,Gift Card Integration,BE Dev,3rd Party Apps,updated,False
SRLK-58,SRLK,Fulfillment Integration,BE Dev,Integrations,updated,False
